"","exposure","id","outcome","nsnp","b","se","pval","what"
"1","CAD","ebi-a-GCST003116","ACAA1",42,0.0697654497522901,0.0178763806682951,9.51409977649417e-05,"All"
"2","CAD","ebi-a-GCST003116","ACAA1",41,0.0623114924785917,0.0162183376073165,0.000122016231388121,"Outliers removed"
"3","CAD","ebi-a-GCST003116","ACE2",42,-0.00420082702691034,0.0158090656094665,0.790452807459059,"All"
"4","CAD","ebi-a-GCST003116","ACE2",41,0.000493134247894132,0.014112336767636,0.972124804638975,"Outliers removed"
"5","CAD","ebi-a-GCST003116","ACP5",42,-0.0110960509166672,0.018513382416876,0.548937525317348,"All"
"6","CAD","ebi-a-GCST003116","ACP5",42,-0.0110960509166672,0.018513382416876,0.548937525317348,"Outliers removed"
"7","CAD","ebi-a-GCST003116","ACY1",42,0.000537873365914574,0.0187894213178908,0.977162561838813,"All"
"8","CAD","ebi-a-GCST003116","ACY1",40,-0.00052389593325116,0.0149806241202186,0.97210241148299,"Outliers removed"
"9","CAD","ebi-a-GCST003116","ADA",42,0.0113266151241635,0.0234416455880537,0.628965487360609,"All"
"10","CAD","ebi-a-GCST003116","ADA",40,0.00488415346436133,0.0182874311774552,0.789409825065086,"Outliers removed"
"11","CAD","ebi-a-GCST003116","ADA2",2,-0.0561971601681024,0.0902244331858945,0.533376746272407,"All"
"12","CAD","ebi-a-GCST003116","ADA2",2,-0.0561971601681024,0.0902244331858945,0.533376746272407,"Outliers removed"
"13","CAD","ebi-a-GCST003116","ADAM15",42,0.00482362803586269,0.0244000962758217,0.843288479870927,"All"
"14","CAD","ebi-a-GCST003116","ADAM15",40,-0.0080083724501607,0.0159218376400929,0.614978044260725,"Outliers removed"
"15","CAD","ebi-a-GCST003116","ADAMTS8",42,-0.0206888709416285,0.0197325714945227,0.294425344556436,"All"
"16","CAD","ebi-a-GCST003116","ADAMTS8",41,-0.0124039190387252,0.0178840604963491,0.48794941545397,"Outliers removed"
"17","CAD","ebi-a-GCST003116","ADGRG1",42,-0.00589846616117505,0.0282318808250405,0.834503456704834,"All"
"18","CAD","ebi-a-GCST003116","ADGRG1",41,-0.0259192833443684,0.0179045116900413,0.147717820062134,"Outliers removed"
"19","CAD","ebi-a-GCST003116","ADGRG2",42,-0.0109268784993167,0.0196376681734528,0.577920735756456,"All"
"20","CAD","ebi-a-GCST003116","ADGRG2",41,-0.00416570021302618,0.0185648353042384,0.822456499060062,"Outliers removed"
"21","CAD","ebi-a-GCST003116","ADH4",42,0.018368461325785,0.0154117687646049,0.233321473004393,"All"
"22","CAD","ebi-a-GCST003116","ADH4",42,0.018368461325785,0.0154117687646049,0.233321473004393,"Outliers removed"
"23","CAD","ebi-a-GCST003116","AFP",42,-0.015018318458714,0.0167837283827765,0.370886419087046,"All"
"24","CAD","ebi-a-GCST003116","AFP",42,-0.015018318458714,0.0167837283827765,0.370886419087046,"Outliers removed"
"25","CAD","ebi-a-GCST003116","AGER",42,-0.0331192149784718,0.0287320749718068,0.249037083235975,"All"
"26","CAD","ebi-a-GCST003116","AGER",39,-0.0166442339001353,0.0199367745634027,0.403801671047604,"Outliers removed"
"27","CAD","ebi-a-GCST003116","AGR3",42,-0.0282029001900352,0.0209632611473262,0.178512591019042,"All"
"28","CAD","ebi-a-GCST003116","AGR3",41,-0.0444171252484927,0.0157802956714682,0.00488196393421343,"Outliers removed"
