"","exposure","id.exposure","outcome","prs_beta","prs_se","prs_pval","prs_Qpval_revmrout","remove","revmr_nsnp","revmr_beta","revmr_se","revmr_pval","revmr_Qpval_revmrout"
"1","Alzheimer’s disease","ieu-b-2","TREM2",-0.0329200736021507,0.00610326029647314,6.9427396451876e-08,0.294959181615583,FALSE,21,-0.0884064307791831,0.10907567265428,0.417649714875454,0.729188879239821
"2","Alzheimer’s disease","ieu-b-2","GBP4",-0.0333056294998599,0.00662204080576469,4.94303738146121e-07,0.0791158721113772,FALSE,21,-0.00677183985647918,0.0126456142720239,0.592297957533155,0.828562752203075
"3","Alzheimer’s disease","ieu-b-2","CD33",0.0324978032111965,0.00658750866857266,8.12570691271096e-07,0.000721184166970419,TRUE,21,-0.0051469034367956,0.00897473778362329,0.566314396152589,1
"4","Alzheimer’s disease","ieu-b-2","C1QA",-0.0314364144109387,0.00643938959382192,1.05548642832009e-06,0.521707198494299,FALSE,21,-0.0226075760173356,0.0121824806178184,0.0634899306733111,1
"5","Amyotrophic lateral sclerosis","ebi-a-GCST005647","CTSB",-0.0273587064929122,0.00538940677358744,3.86720973111021e-07,0.266019792609675,FALSE,6,-0.0616718849920257,0.0303751250668455,0.0423218118342221,1
"6","Major depressive disorder","ieu-a-805","BTN3A2",0.0405404745045128,0.00536178976012212,4.10145831009442e-14,NA,TRUE,NA,NA,NA,NA,NA
"7","Major depressive disorder","ieu-a-805","MICB_MICA",-0.0337968730295247,0.00552128728745701,9.39000356292136e-10,NA,TRUE,NA,NA,NA,NA,NA
"8","Major depressive disorder","ieu-a-805","CPVL",-0.0334640358742092,0.00550614593205901,1.23307963430283e-09,NA,TRUE,NA,NA,NA,NA,NA
"9","Major depressive disorder","ieu-a-805","KIR2DL3",-0.0331453172930085,0.00555784184282412,2.49092381701523e-09,NA,TRUE,NA,NA,NA,NA,NA
"10","Major depressive disorder","ieu-a-805","ICAM3",0.0264860381047247,0.00542197263165909,1.0392529872844e-06,NA,TRUE,NA,NA,NA,NA,NA
"11","Multiple sclerosis","ieu-b-18","LILRB4",-0.253281965505472,0.00504599771050024,0,NA,TRUE,26,-0.289818190447544,0.0737846616664219,8.56936353263201e-05,1
"12","Multiple sclerosis","ieu-b-18","KIR2DL3",-0.167215663314317,0.00535952050912713,1.25181997857732e-210,0.285674385343315,FALSE,26,-0.236552020169842,0.0515582132381997,4.47390538118006e-06,0.527757729320117
"13","Multiple sclerosis","ieu-b-18","CD22",-0.106692333479367,0.00512997177045739,1.77731125256838e-95,0.40893747056362,FALSE,26,-0.147055943835343,0.0272593876016726,6.86419841834076e-08,0.0859584856085286
"14","Multiple sclerosis","ieu-b-18","CDSN",0.105851552286159,0.00533607191101628,4.44257930974901e-87,1.00885808970661e-07,FALSE,26,0.083798492834187,0.0897777541163285,0.350613841762803,0.567762820302416
"15","Multiple sclerosis","ieu-b-18","C2",0.0938080052713807,0.00526417249796581,1.04002957808069e-70,3.32822899079058e-05,FALSE,26,0.102502717507362,0.0246233610075125,3.14335689354797e-05,0.0160973358118385
"16","Multiple sclerosis","ieu-b-18","CCL19",-0.0731598040527532,0.00531103518573008,4.69839225541813e-43,0.368261292163047,FALSE,26,-0.108072336883343,0.0228881679710267,2.33817467918217e-06,0.552005925204957
"17","Multiple sclerosis","ieu-b-18","GZMA",0.0691656808287426,0.00520558162636044,3.47563261959321e-40,0.0257361710695682,TRUE,26,0.0971532357456894,0.0298414796483373,0.00113135488417633,0.0461663775898662
"18","Multiple sclerosis","ieu-b-18","CD8A",0.0700558217377877,0.00528735061084314,5.68962301985953e-40,0.266842813996307,FALSE,26,0.103132647711725,0.0232947489981646,9.54236706936493e-06,0.0670179621953329
"19","Multiple sclerosis","ieu-b-18","LTA",-0.0649584818339844,0.00524385690711247,3.64187028694646e-35,0.234485295678722,FALSE,26,-0.0950735656626069,0.0337453791430835,0.00484171617581064,0.188603066976464
"20","Multiple sclerosis","ieu-b-18","TIMD4",-0.0595676934044125,0.00532020898909339,4.77056677031123e-29,0.00101467271284115,TRUE,26,-0.0815311044510911,0.0204410186503192,6.64635968815498e-05,0.00482408933808108
"21","Multiple sclerosis","ieu-b-18","TNXB",0.059662098220419,0.00533083679141485,5.02626720166573e-29,0.52813765575211,FALSE,26,0.101913178248221,0.0243655138100235,2.88091149824347e-05,0.065216970049403
"22","Multiple sclerosis","ieu-b-18","IGF1R",-0.0482380645984627,0.00520278308695065,1.94001502851501e-20,0.173045125861401,FALSE,26,-0.0666678537767636,0.0144336371197987,3.85737560372283e-06,0.0534365201305937
"23","Multiple sclerosis","ieu-b-18","CXCL3",-0.0464977138177129,0.00506713517520526,4.70657181078647e-20,0.00010822705090077,TRUE,26,-0.043228300668187,0.0145797588847354,0.00302729120371794,0.0108485870324228
"24","Multiple sclerosis","ieu-b-18","IL5RA",-0.0474877358162048,0.00531117553266633,4.04486594553129e-19,0.668623866141614,FALSE,26,-0.0639227515614796,0.0198008650218045,0.00124536679838555,0.346286888589351
"25","Multiple sclerosis","ieu-b-18","IGFBP7",-0.0438250889754356,0.00503325945569656,3.25482459139052e-18,0.172769091702268,TRUE,26,-0.0561238669583678,0.0153867112579099,0.000264748228849843,0.115488146992825
"26","Multiple sclerosis","ieu-b-18","CD5",-0.0427634460584264,0.0050829418827854,4.14622035312824e-17,0.601996708017954,TRUE,26,-0.0458893931353361,0.01856892060952,0.0134622432284749,0.618192435492172
"27","Multiple sclerosis","ieu-b-18","FAP",0.0432112471804807,0.0052312744552444,1.50641750190763e-16,0.791768853467984,FALSE,26,0.0482351119951759,0.0193632898463521,0.0127362698737773,0.959043208822285
"28","Multiple sclerosis","ieu-b-18","CXCL1",-0.0418823098698763,0.00525939270023615,1.72696213278461e-15,0.0286403381487235,TRUE,26,-0.0466536994740869,0.0148128314185609,0.00163524153756422,0.0811662115702893
"29","Multiple sclerosis","ieu-b-18","KLRB1",0.0414317360021521,0.005338498733152,8.66536212028366e-15,0.104273771804538,TRUE,26,0.0397849621050899,0.0195950407190138,0.042320087839447,0.283822507294058
"30","Multiple sclerosis","ieu-b-18","MSR1",-0.0372173362901614,0.00504948384082854,1.73813904307322e-13,0.850547067057676,FALSE,26,-0.0395096014015885,0.0110682773019097,0.000357492354749805,1
"31","Multiple sclerosis","ieu-b-18","FOLR2",0.0379465699946665,0.00519007529991394,2.70235917154953e-13,0.528293095593024,FALSE,26,0.0529512436678032,0.0176380013559313,0.00268114105156037,0.277970345843732
"32","Multiple sclerosis","ieu-b-18","BTN2A1",0.0377298251428478,0.00528027681017192,9.15260104119989e-13,0.0378760135354802,TRUE,26,0.0369553604356752,0.0227371727565828,0.104092717258398,0.26896981366683
"33","Multiple sclerosis","ieu-b-18","GZMH",0.0365652537706305,0.00521585339091867,2.42174626141192e-12,0.0517104668102144,TRUE,26,0.0506282890879566,0.0158606634707618,0.00141258912812086,0.0422765135232761
"34","Multiple sclerosis","ieu-b-18","CCL28",-0.036581690755685,0.00521843280077302,2.42657054959878e-12,0.135606798633744,FALSE,26,-0.0569879839675372,0.0135701074414408,2.67477368589918e-05,0.935170245224978
"35","Multiple sclerosis","ieu-b-18","FCRL6",0.0358030864549342,0.00533132149883615,1.90250174700252e-11,0.0832515748938909,TRUE,26,0.0652915708141261,0.0210744765890542,0.00194742779288048,0.0305251681756896
"36","Multiple sclerosis","ieu-b-18","TNFSF13B",0.034028643372127,0.00506896543750056,1.93470298327608e-11,0.0346614121708406,TRUE,26,0.0472315912316793,0.0162805674939345,0.00371852501867163,0.0423944573133928
"37","Multiple sclerosis","ieu-b-18","OPTC",0.0347008006447393,0.00517026175612165,1.95542571129691e-11,0.0318412285685118,TRUE,26,0.0411512381648362,0.0146101088615977,0.00485307369964794,0.0529399211381736
"38","Multiple sclerosis","ieu-b-18","CTSL",-0.0344856536230111,0.00524575125467427,4.96886963397427e-11,0.0522057741963048,FALSE,26,-0.0599026441307347,0.0140836259905965,2.105924491482e-05,0.998208544003433
"39","Multiple sclerosis","ieu-b-18","SDC4",-0.0311688605730581,0.00483131822159537,1.12304781164956e-10,0.646788823030895,FALSE,26,-0.0375946473893894,0.016125891895446,0.0197363842545241,0.537968261960383
"40","Multiple sclerosis","ieu-b-18","CLEC5A",-0.031356003184618,0.00492559831627947,1.9661117810341e-10,0.117089682275495,TRUE,26,-0.0424567453633929,0.0134200949101156,0.00155793586463211,0.0758506869886744
"41","Multiple sclerosis","ieu-b-18","SIGLEC9",-0.0324637295416996,0.00533839957391597,1.20577982556744e-09,0.0059289409830357,TRUE,26,-0.0369660832674325,0.0153567639565003,0.016077424567694,0.040028003083744
"42","Multiple sclerosis","ieu-b-18","IL12B",0.0317364211166154,0.00523861951604704,1.391236635367e-09,0.036137018985388,TRUE,26,0.0199069098268644,0.0224151296486581,0.374486166351987,0.412653543796398
"43","Multiple sclerosis","ieu-b-18","MICB_MICA",-0.032596533706927,0.00540863189105692,1.69012241515744e-09,0.111149778751062,FALSE,26,-0.0402809983647935,0.0171038418738241,0.0185184781136448,0.230110629565084
"44","Multiple sclerosis","ieu-b-18","JCHAIN",-0.0327290513564934,0.00543324897090191,1.72114977143566e-09,0.0748545932043094,FALSE,26,-0.0148417158084019,0.0218867282749827,0.497698865779722,0.797934494251284
"45","Multiple sclerosis","ieu-b-18","CD4",-0.031119854237974,0.00523525198300878,2.80391450721102e-09,0.645302561879614,FALSE,26,-0.0452388568899536,0.0158442449246642,0.00430065827939186,0.674363577677066
"46","Multiple sclerosis","ieu-b-18","IL12A_IL12B",0.0310521982819457,0.00529127612854893,4.43706656646586e-09,0.0289350400508569,TRUE,26,0.0194753222267737,0.0219656432918894,0.375280002213723,0.364247079611297
"47","Multiple sclerosis","ieu-b-18","MERTK",-0.0301427764556679,0.0051619089920268,5.28438428348325e-09,0.723541028442655,FALSE,26,-0.0264853240729492,0.00895898186192567,0.00311366933042183,1
"48","Multiple sclerosis","ieu-b-18","KLRD1",-0.0291820443638109,0.00523632177789671,2.52277045765172e-08,0.837626672475322,FALSE,26,-0.0390303567209323,0.0183475705173275,0.0333971110334986,0.798421344355858
"49","Multiple sclerosis","ieu-b-18","IL15RA",0.0298053666642563,0.00536858780966686,2.848957367567e-08,0.118414647387696,FALSE,26,0.0230773128675044,0.0145308504393362,0.112250203500139,0.41243437228144
"50","Multiple sclerosis","ieu-b-18","CD6",-0.028140065310378,0.00506914130430176,2.85749041622296e-08,0.602783618550797,FALSE,26,-0.0526595599745235,0.0546854246746973,0.335570502448726,0.591092952225941
"51","Multiple sclerosis","ieu-b-18","CDH17",-0.0295717884173878,0.00536175214273794,3.50689760901526e-08,0.345043397231364,FALSE,26,-0.0387380784206317,0.0184623101997057,0.0358852856493531,0.956029900616985
"52","Multiple sclerosis","ieu-b-18","IL2RA",-0.0289045010538026,0.00527197018315479,4.21963548284757e-08,0.302363275778328,FALSE,26,-0.0506543361005237,0.0209010888849065,0.0153706453346523,0.682992394066313
"53","Multiple sclerosis","ieu-b-18","ITGA6",-0.0279075731949526,0.00509273158937181,4.28651513999545e-08,0.85959802601817,FALSE,26,-0.0301570603941795,0.011652913863081,0.00965513521185277,1
